"Geslacht";"Niveau";"Leerweg";"Studierichting";"Regio";"Perioden";"Gediplomeerden mbo (Aantal)"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Nederland";"2020/'21*";"   78540"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Groningen (PV)";"2020/'21*";"    2880"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Fryslân (PV)";"2020/'21*";"    3570"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Drenthe (PV)";"2020/'21*";"    2610"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Overijssel (PV)";"2020/'21*";"    6610"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Flevoland (PV)";"2020/'21*";"    2380"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Gelderland (PV)";"2020/'21*";"   10270"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Utrecht (PV)";"2020/'21*";"    5340"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Noord-Holland (PV)";"2020/'21*";"   11560"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Zuid-Holland (PV)";"2020/'21*";"   15570"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Zeeland (PV)";"2020/'21*";"    1790"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Noord-Brabant (PV)";"2020/'21*";"   11290"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Limburg (PV)";"2020/'21*";"    4290"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Niet in te delen (PV)";"2020/'21*";"     380"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Nederland";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Groningen (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Fryslân (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Drenthe (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Overijssel (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Flevoland (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Gelderland (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Utrecht (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Noord-Holland (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Zuid-Holland (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Zeeland (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Noord-Brabant (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Limburg (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Niet in te delen (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Nederland";"2020/'21*";"   18920"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Groningen (PV)";"2020/'21*";"     730"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Fryslân (PV)";"2020/'21*";"     860"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Drenthe (PV)";"2020/'21*";"     690"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Overijssel (PV)";"2020/'21*";"    1790"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Flevoland (PV)";"2020/'21*";"     390"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Gelderland (PV)";"2020/'21*";"    2450"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Utrecht (PV)";"2020/'21*";"    1200"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Noord-Holland (PV)";"2020/'21*";"    2610"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Zuid-Holland (PV)";"2020/'21*";"    3320"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Zeeland (PV)";"2020/'21*";"     590"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Noord-Brabant (PV)";"2020/'21*";"    3170"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Limburg (PV)";"2020/'21*";"    1040"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Niet in te delen (PV)";"2020/'21*";"     100"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Nederland";"2020/'21*";"    9690"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Groningen (PV)";"2020/'21*";"     330"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Fryslân (PV)";"2020/'21*";"     470"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Drenthe (PV)";"2020/'21*";"     360"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Overijssel (PV)";"2020/'21*";"     790"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Flevoland (PV)";"2020/'21*";"     270"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Gelderland (PV)";"2020/'21*";"    1350"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Utrecht (PV)";"2020/'21*";"     570"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Noord-Holland (PV)";"2020/'21*";"    1150"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Zuid-Holland (PV)";"2020/'21*";"    2020"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Zeeland (PV)";"2020/'21*";"     380"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Noord-Brabant (PV)";"2020/'21*";"    1400"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Limburg (PV)";"2020/'21*";"     560"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Niet in te delen (PV)";"2020/'21*";"      50"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Nederland";"2020/'21*";"    8860"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Groningen (PV)";"2020/'21*";"     400"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Fryslân (PV)";"2020/'21*";"     440"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Drenthe (PV)";"2020/'21*";"     350"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Overijssel (PV)";"2020/'21*";"     740"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Flevoland (PV)";"2020/'21*";"     290"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Gelderland (PV)";"2020/'21*";"    1210"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Utrecht (PV)";"2020/'21*";"     670"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Noord-Holland (PV)";"2020/'21*";"    1310"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Zuid-Holland (PV)";"2020/'21*";"    1580"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Zeeland (PV)";"2020/'21*";"     150"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Noord-Brabant (PV)";"2020/'21*";"    1150"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Limburg (PV)";"2020/'21*";"     500"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zorg, welzijn en sport";"Niet in te delen (PV)";"2020/'21*";"      50"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Nederland";"2020/'21*";"    7730"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Groningen (PV)";"2020/'21*";"     260"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Fryslân (PV)";"2020/'21*";"     340"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Drenthe (PV)";"2020/'21*";"     250"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Overijssel (PV)";"2020/'21*";"     870"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Flevoland (PV)";"2020/'21*";"     260"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Gelderland (PV)";"2020/'21*";"     930"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Utrecht (PV)";"2020/'21*";"     450"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Noord-Holland (PV)";"2020/'21*";"    1160"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Zuid-Holland (PV)";"2020/'21*";"    1500"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Zeeland (PV)";"2020/'21*";"     130"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Noord-Brabant (PV)";"2020/'21*";"    1130"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Limburg (PV)";"2020/'21*";"     430"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer handel";"Niet in te delen (PV)";"2020/'21*";"      30"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Nederland";"2020/'21*";"    8960"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Groningen (PV)";"2020/'21*";"     330"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Fryslân (PV)";"2020/'21*";"     350"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Drenthe (PV)";"2020/'21*";"     240"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Overijssel (PV)";"2020/'21*";"     710"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Flevoland (PV)";"2020/'21*";"     390"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Gelderland (PV)";"2020/'21*";"    1150"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Utrecht (PV)";"2020/'21*";"     750"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Noord-Holland (PV)";"2020/'21*";"    1450"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Zuid-Holland (PV)";"2020/'21*";"    1760"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Zeeland (PV)";"2020/'21*";"     130"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Noord-Brabant (PV)";"2020/'21*";"    1210"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Limburg (PV)";"2020/'21*";"     470"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer creatieve industrie en ICT";"Niet in te delen (PV)";"2020/'21*";"      30"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Nederland";"2020/'21*";"    8310"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Groningen (PV)";"2020/'21*";"     300"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Fryslân (PV)";"2020/'21*";"     480"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Drenthe (PV)";"2020/'21*";"     330"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Overijssel (PV)";"2020/'21*";"     650"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Flevoland (PV)";"2020/'21*";"     220"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Gelderland (PV)";"2020/'21*";"    1170"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Utrecht (PV)";"2020/'21*";"     560"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Noord-Holland (PV)";"2020/'21*";"    1070"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Zuid-Holland (PV)";"2020/'21*";"    1640"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Zeeland (PV)";"2020/'21*";"     170"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Noord-Brabant (PV)";"2020/'21*";"    1230"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Limburg (PV)";"2020/'21*";"     470"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer voedsel, groen en gastvrijh";"Niet in te delen (PV)";"2020/'21*";"      40"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Nederland";"2020/'21*";"    8150"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Groningen (PV)";"2020/'21*";"     220"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Fryslân (PV)";"2020/'21*";"     280"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Drenthe (PV)";"2020/'21*";"     190"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Overijssel (PV)";"2020/'21*";"     590"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Flevoland (PV)";"2020/'21*";"     280"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Gelderland (PV)";"2020/'21*";"    1150"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Utrecht (PV)";"2020/'21*";"     660"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Noord-Holland (PV)";"2020/'21*";"    1370"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Zuid-Holland (PV)";"2020/'21*";"    1740"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Zeeland (PV)";"2020/'21*";"     110"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Noord-Brabant (PV)";"2020/'21*";"    1070"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Limburg (PV)";"2020/'21*";"     450"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer zakelijke dienstverlenin...";"Niet in te delen (PV)";"2020/'21*";"      40"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Nederland";"2020/'21*";"     290"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Groningen (PV)";"2020/'21*";"      10"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Fryslân (PV)";"2020/'21*";"      10"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Drenthe (PV)";"2020/'21*";"      10"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Overijssel (PV)";"2020/'21*";"      30"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Flevoland (PV)";"2020/'21*";"      10"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Gelderland (PV)";"2020/'21*";"      30"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Utrecht (PV)";"2020/'21*";"      20"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Noord-Holland (PV)";"2020/'21*";"      40"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Zuid-Holland (PV)";"2020/'21*";"      60"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Zeeland (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Noord-Brabant (PV)";"2020/'21*";"      40"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Limburg (PV)";"2020/'21*";"      20"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer specialistisch vakmanschap";"Niet in te delen (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Nederland";"2020/'21*";"    7190"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Groningen (PV)";"2020/'21*";"     230"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Fryslân (PV)";"2020/'21*";"     320"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Drenthe (PV)";"2020/'21*";"     180"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Overijssel (PV)";"2020/'21*";"     440"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Flevoland (PV)";"2020/'21*";"     280"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Gelderland (PV)";"2020/'21*";"     760"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Utrecht (PV)";"2020/'21*";"     400"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Noord-Holland (PV)";"2020/'21*";"    1350"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Zuid-Holland (PV)";"2020/'21*";"    1860"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Zeeland (PV)";"2020/'21*";"     120"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Noord-Brabant (PV)";"2020/'21*";"     860"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Limburg (PV)";"2020/'21*";"     340"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Entree";"Niet in te delen (PV)";"2020/'21*";"      50"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Nederland";"2020/'21*";"     460"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Groningen (PV)";"2020/'21*";"      80"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Fryslân (PV)";"2020/'21*";"      20"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Drenthe (PV)";"2020/'21*";"      10"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Overijssel (PV)";"2020/'21*";"      10"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Flevoland (PV)";"2020/'21*";"       0"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Gelderland (PV)";"2020/'21*";"      80"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Utrecht (PV)";"2020/'21*";"      80"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Noord-Holland (PV)";"2020/'21*";"      50"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Zuid-Holland (PV)";"2020/'21*";"      90"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Zeeland (PV)";"2020/'21*";"      10"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Noord-Brabant (PV)";"2020/'21*";"      30"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Limburg (PV)";"2020/'21*";"      10"
"Mannen";"Totaal mbo";"Totaal mbo (incl extranei)";"Bovensectoraal";"Niet in te delen (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Nederland";"2020/'21*";"   78750"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Groningen (PV)";"2020/'21*";"    2970"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Fryslân (PV)";"2020/'21*";"    3680"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Drenthe (PV)";"2020/'21*";"    2620"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Overijssel (PV)";"2020/'21*";"    6280"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Flevoland (PV)";"2020/'21*";"    2560"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Gelderland (PV)";"2020/'21*";"    9890"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Utrecht (PV)";"2020/'21*";"    5210"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Noord-Holland (PV)";"2020/'21*";"   10960"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Zuid-Holland (PV)";"2020/'21*";"   16970"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Zeeland (PV)";"2020/'21*";"    1700"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Noord-Brabant (PV)";"2020/'21*";"   10970"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Limburg (PV)";"2020/'21*";"    4530"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Niet in te delen (PV)";"2020/'21*";"     420"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Nederland";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Groningen (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Fryslân (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Drenthe (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Overijssel (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Flevoland (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Gelderland (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Utrecht (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Noord-Holland (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Zuid-Holland (PV)";"2020/'21*";"       0"
"Vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Zeeland (PV)";"2020/'21*";"       0"
